Region,h,v,Region Rank (1 is best),Within Region (1 is best),Dateline Cross
Hawaii,3,7,0,0,0
Russia,21,1,0,0,1
Russia,21,2,0,0,0
Russia,21,3,0,0,0
Russia,22,1,0,0,1
Russia,22,2,0,0,0
Russia,22,3,0,0,0
Russia,23,1,0,0,1
Russia,23,2,0,0,0
Russia,23,3,0,0,0
Russia,24,2,0,0,1
Russia,24,3,0,0,0
Russia,25,2,0,0,1
Russia,25,3,0,0,0
Russia,26,2,0,0,1
Russia,26,3,0,0,0
Russia,27,3,0,0,1
Russia,28,3,0,0,1
Russia,29,3,0,0,1
Kili,21,9,0,0,0
FrenchArctic,20,13,0,0,0
FrenchArctic,21,13,0,0,0
FrenchArctic,22,13,0,0,0
FrenchArctic,22,14,0,0,0
NZ Alps,28,14,8,0,1
Hawaii,3,7,0,0,0
