Region,h,v,Region Rank (1 is best),Within Region (1 is best),Dateline Cross
USwest,8,4,1,1,0
USwest,8,5,1,1,0
USwest,9,4,1,1,0
USwest,9,5,1,1,0
USwest,10,4,1,1,0
USwest,10,5,1,1,0
USAlaska,7,3,2,0,1
USAlaska,8,3,2,1,1
USAlaska,9,2,2,1,1
USAlaska,9,3,2,1,0
USAlaska,10,2,2,1,1
USAlaska,10,3,2,1,0
USAlaska,11,2,2,1,1
USAlaska,11,3,2,1,0
USAlaska,12,1,2,1,1
USAlaska,12,2,2,1,0
USAlaska,12,3,2,1,0
USeast,11,4,3,1,0
USeast,11,5,3,1,0
USeast,12,4,3,1,0
USeast,12,5,3,1,0
USeast,13,4,3,1,0
ASHimalaya,23,4,4,1,0
ASHimalaya,23,5,4,1,0
ASHimalaya,23,6,4,0,0
ASHimalaya,24,4,4,1,0
ASHimalaya,24,5,4,1,0
ASHimalaya,24,6,4,1,0
ASHimalaya,25,4,4,0,0
ASHimalaya,25,5,4,1,0
ASHimalaya,25,6,4,1,0
ASHimalaya,26,4,4,0,0
ASHimalaya,26,5,4,1,0
ASHimalaya,26,6,4,1,0
Canada,13,1,5,1,1
Canada,13,2,5,1,0
Canada,13,3,5,1,0
Canada,14,1,5,1,1
Canada,14,2,5,1,0
Canada,14,3,5,1,0
Canada,14,4,5,1,0
EURAlps,17,3,6,0,0
EURAlps,17,4,6,1,0
EURAlps,17,5,6,0,0
EURAlps,18,2,6,1,0
EURAlps,18,3,6,1,0
EURAlps,18,4,6,1,0
EURAlps,19,2,6,1,0
EURAlps,19,3,6,1,0
EURAlps,19,4,6,1,0
EURAlps,19,5,6,0,0
AMAndes,10,8,7,0,0
AMAndes,10,9,7,0,0
AMAndes,10,10,7,0,0
AMAndes,11,8,7,0,0
AMAndes,11,10,7,0,0
AMAndes,11,11,7,1,0
AMAndes,11,12,7,1,0
AMAndes,12,11,7,1,0
AMAndes,12,12,7,1,0
AMAndes,12,13,7,1,0
AMAndes,13,13,7,1,0
AMAndes,13,14,7,1,0
AMAndes,14,14,7,1,0
AMAndes,15,14,7,0,0
NZ Alps,28,13,8,0,0
NZAlps,29,13,8,1,1
NZAlps,30,13,8,1,1
NZAlps,31,12,8,0,1
NZAlps,31,13,8,0,1
Arctic,15,1,9,1,0
Arctic,15,2,9,1,0
Arctic,16,0,9,1,1
Arctic,16,1,9,1,0
Arctic,16,2,9,1,0
Arctic,17,0,9,1,1
Arctic,17,1,9,1,0
Arctic,17,2,9,1,0
Arctic,18,0,9,1,1
Arctic,18,1,9,1,0
Arctic,19,0,9,0,1
Arctic,19,1,9,0,0
ASEast,27,4,10,0,0
ASEast,27,5,10,0,0
ASEast,27,6,10,0,0
ASEast,28,4,10,1,0
ASEast,28,5,10,1,0
ASEast,28,6,10,0,0
ASEast,29,5,10,1,0
ASEast,29,6,10,1,0
EURRUS,20,1,11,0,0
EURRUS,20,2,11,0,0
EURRUS,20,3,11,0,0
MidEast,20,4,12,0,0
MidEast,20,5,12,0,0
MidEast,21,4,12,1,0
MidEast,21,5,12,1,0
MidEast,22,4,12,0,0
MidEast,22,5,12,0,0
MidEast,22,6,12,0,0
