 iv  ih    lon_min    lon_max   lat_min   lat_max
  0   0  -999.0000  -999.0000  -99.0000  -99.0000
  0   1  -999.0000  -999.0000  -99.0000  -99.0000
  0   2  -999.0000  -999.0000  -99.0000  -99.0000
  0   3  -999.0000  -999.0000  -99.0000  -99.0000
  0   4  -999.0000  -999.0000  -99.0000  -99.0000
  0   5  -999.0000  -999.0000  -99.0000  -99.0000
  0   6  -999.0000  -999.0000  -99.0000  -99.0000
  0   7  -999.0000  -999.0000  -99.0000  -99.0000
  0   8  -999.0000  -999.0000  -99.0000  -99.0000
  0   9  -999.0000  -999.0000  -99.0000  -99.0000
  0  10  -999.0000  -999.0000  -99.0000  -99.0000
  0  11  -999.0000  -999.0000  -99.0000  -99.0000
  0  12  -999.0000  -999.0000  -99.0000  -99.0000
  0  13  -999.0000  -999.0000  -99.0000  -99.0000
  0  14  -180.0000  -172.7631   80.0000   80.4042
  0  15  -180.0000  -115.1754   80.0000   83.6167
  0  16  -180.0000   -57.5877   80.0000   86.8125
  0  17  -180.0000     0.0000   80.0000   90.0000
  0  18     0.0000   180.0000   80.0000   90.0000
  0  19    57.5877   180.0000   80.0000   86.8125
  0  20   115.1754   180.0000   80.0000   83.6167
  0  21   172.7631   180.0000   80.0000   80.4042
  0  22  -999.0000  -999.0000  -99.0000  -99.0000
  0  23  -999.0000  -999.0000  -99.0000  -99.0000
  0  24  -999.0000  -999.0000  -99.0000  -99.0000
  0  25  -999.0000  -999.0000  -99.0000  -99.0000
  0  26  -999.0000  -999.0000  -99.0000  -99.0000
  0  27  -999.0000  -999.0000  -99.0000  -99.0000
  0  28  -999.0000  -999.0000  -99.0000  -99.0000
  0  29  -999.0000  -999.0000  -99.0000  -99.0000
  0  30  -999.0000  -999.0000  -99.0000  -99.0000
  0  31  -999.0000  -999.0000  -99.0000  -99.0000
  0  32  -999.0000  -999.0000  -99.0000  -99.0000
  0  33  -999.0000  -999.0000  -99.0000  -99.0000
  0  34  -999.0000  -999.0000  -99.0000  -99.0000
  0  35  -999.0000  -999.0000  -99.0000  -99.0000
  1   0  -999.0000  -999.0000  -99.0000  -99.0000
  1   1  -999.0000  -999.0000  -99.0000  -99.0000
  1   2  -999.0000  -999.0000  -99.0000  -99.0000
  1   3  -999.0000  -999.0000  -99.0000  -99.0000
  1   4  -999.0000  -999.0000  -99.0000  -99.0000
  1   5  -999.0000  -999.0000  -99.0000  -99.0000
  1   6  -999.0000  -999.0000  -99.0000  -99.0000
  1   7  -999.0000  -999.0000  -99.0000  -99.0000
  1   8  -999.0000  -999.0000  -99.0000  -99.0000
  1   9  -999.0000  -999.0000  -99.0000  -99.0000
  1  10  -999.0000  -999.0000  -99.0000  -99.0000
  1  11  -180.0000  -175.4283   70.0000   70.5250
  1  12  -180.0000  -146.1902   70.0000   73.8708
  1  13  -180.0000  -116.9522   70.0000   80.0000
  1  14  -180.0000   -87.7141   70.0000   80.0000
  1  15  -172.7631   -58.4761   70.0000   80.0000
  1  16  -115.1754   -29.2380   70.0000   80.0000
  1  17   -57.5877     0.0000   70.0000   80.0000
  1  18     0.0000    57.5877   70.0000   80.0000
  1  19    29.2380   115.1754   70.0000   80.0000
  1  20    58.4761   172.7631   70.0000   80.0000
  1  21    87.7141   180.0000   70.0000   80.0000
  1  22   116.9522   180.0000   70.0000   80.0000
  1  23   146.1902   180.0000   70.0000   73.8708
  1  24   175.4283   180.0000   70.0000   70.5250
  1  25  -999.0000  -999.0000  -99.0000  -99.0000
  1  26  -999.0000  -999.0000  -99.0000  -99.0000
  1  27  -999.0000  -999.0000  -99.0000  -99.0000
  1  28  -999.0000  -999.0000  -99.0000  -99.0000
  1  29  -999.0000  -999.0000  -99.0000  -99.0000
  1  30  -999.0000  -999.0000  -99.0000  -99.0000
  1  31  -999.0000  -999.0000  -99.0000  -99.0000
  1  32  -999.0000  -999.0000  -99.0000  -99.0000
  1  33  -999.0000  -999.0000  -99.0000  -99.0000
  1  34  -999.0000  -999.0000  -99.0000  -99.0000
  1  35  -999.0000  -999.0000  -99.0000  -99.0000
  2   0  -999.0000  -999.0000  -99.0000  -99.0000
  2   1  -999.0000  -999.0000  -99.0000  -99.0000
  2   2  -999.0000  -999.0000  -99.0000  -99.0000
  2   3  -999.0000  -999.0000  -99.0000  -99.0000
  2   4  -999.0000  -999.0000  -99.0000  -99.0000
  2   5  -999.0000  -999.0000  -99.0000  -99.0000
  2   6  -999.0000  -999.0000  -99.0000  -99.0000
  2   7  -999.0000  -999.0000  -99.0000  -99.0000
  2   8  -999.0000  -999.0000  -99.0000  -99.0000
  2   9  -180.0000  -160.0000   59.9958   63.6083
  2  10  -180.0000  -140.0000   60.0000   70.0000
  2  11  -180.0000  -120.0000   60.0000   70.0000
  2  12  -175.4283  -100.0000   60.0000   70.0000
  2  13  -146.1902   -80.0000   60.0000   70.0000
  2  14  -116.9522   -60.0000   60.0000   70.0000
  2  15   -87.7141   -40.0000   60.0000   70.0000
  2  16   -58.4761   -20.0000   60.0000   70.0000
  2  17   -29.2380     0.0000   60.0000   70.0000
  2  18     0.0000    29.2380   60.0000   70.0000
  2  19    20.0000    58.4761   60.0000   70.0000
  2  20    40.0000    87.7141   60.0000   70.0000
  2  21    60.0000   116.9522   60.0000   70.0000
  2  22    80.0000   146.1902   60.0000   70.0000
  2  23   100.0000   175.4283   60.0000   70.0000
  2  24   120.0000   180.0000   60.0000   70.0000
  2  25   140.0000   180.0000   60.0000   70.0000
  2  26   160.0000   180.0000   59.9958   63.6083
  2  27  -999.0000  -999.0000  -99.0000  -99.0000
  2  28  -999.0000  -999.0000  -99.0000  -99.0000
  2  29  -999.0000  -999.0000  -99.0000  -99.0000
  2  30  -999.0000  -999.0000  -99.0000  -99.0000
  2  31  -999.0000  -999.0000  -99.0000  -99.0000
  2  32  -999.0000  -999.0000  -99.0000  -99.0000
  2  33  -999.0000  -999.0000  -99.0000  -99.0000
  2  34  -999.0000  -999.0000  -99.0000  -99.0000
  2  35  -999.0000  -999.0000  -99.0000  -99.0000
  3   0  -999.0000  -999.0000  -99.0000  -99.0000
  3   1  -999.0000  -999.0000  -99.0000  -99.0000
  3   2  -999.0000  -999.0000  -99.0000  -99.0000
  3   3  -999.0000  -999.0000  -99.0000  -99.0000
  3   4  -999.0000  -999.0000  -99.0000  -99.0000
  3   5  -999.0000  -999.0000  -99.0000  -99.0000
  3   6  -180.0000  -171.1296   50.0000   52.3292
  3   7  -180.0000  -155.5724   50.0000   56.2500
  3   8  -180.0000  -140.0151   50.0000   60.0000
  3   9  -180.0000  -124.4579   50.0000   60.0000
  3  10  -160.0000  -108.9007   50.0000   60.0000
  3  11  -140.0000   -93.3434   50.0000   60.0000
  3  12  -120.0000   -77.7862   50.0000   60.0000
  3  13  -100.0000   -62.2289   50.0000   60.0000
  3  14   -80.0000   -46.6717   50.0000   60.0000
  3  15   -60.0000   -31.1145   50.0000   60.0000
  3  16   -40.0000   -15.5572   50.0000   60.0000
  3  17   -20.0000     0.0000   50.0000   60.0000
  3  18     0.0000    20.0000   50.0000   60.0000
  3  19    15.5572    40.0000   50.0000   60.0000
  3  20    31.1145    60.0000   50.0000   60.0000
  3  21    46.6717    80.0000   50.0000   60.0000
  3  22    62.2289   100.0000   50.0000   60.0000
  3  23    77.7862   120.0000   50.0000   60.0000
  3  24    93.3434   140.0000   50.0000   60.0000
  3  25   108.9007   160.0000   50.0000   60.0000
  3  26   124.4579   180.0000   50.0000   60.0000
  3  27   140.0151   180.0000   50.0000   60.0000
  3  28   155.5724   180.0000   50.0000   56.2500
  3  29   171.1296   180.0000   50.0000   52.3292
  3  30  -999.0000  -999.0000  -99.0000  -99.0000
  3  31  -999.0000  -999.0000  -99.0000  -99.0000
  3  32  -999.0000  -999.0000  -99.0000  -99.0000
  3  33  -999.0000  -999.0000  -99.0000  -99.0000
  3  34  -999.0000  -999.0000  -99.0000  -99.0000
  3  35  -999.0000  -999.0000  -99.0000  -99.0000
  4   0  -999.0000  -999.0000  -99.0000  -99.0000
  4   1  -999.0000  -999.0000  -99.0000  -99.0000
  4   2  -999.0000  -999.0000  -99.0000  -99.0000
  4   3  -999.0000  -999.0000  -99.0000  -99.0000
  4   4  -180.0000  -169.7029   40.0000   43.7583
  4   5  -180.0000  -156.6489   40.0000   50.0000
  4   6  -180.0000  -143.5948   40.0000   50.0000
  4   7  -171.1296  -130.5407   40.0000   50.0000
  4   8  -155.5724  -117.4867   40.0000   50.0000
  4   9  -140.0151  -104.4326   40.0000   50.0000
  4  10  -124.4579   -91.3785   40.0000   50.0000
  4  11  -108.9007   -78.3244   40.0000   50.0000
  4  12   -93.3434   -65.2704   40.0000   50.0000
  4  13   -77.7862   -52.2163   40.0000   50.0000
  4  14   -62.2289   -39.1622   40.0000   50.0000
  4  15   -46.6717   -26.1081   40.0000   50.0000
  4  16   -31.1145   -13.0541   40.0000   50.0000
  4  17   -15.5572     0.0000   40.0000   50.0000
  4  18     0.0000    15.5572   40.0000   50.0000
  4  19    13.0541    31.1145   40.0000   50.0000
  4  20    26.1081    46.6717   40.0000   50.0000
  4  21    39.1622    62.2289   40.0000   50.0000
